Fe1,Fe2,Fe3,Fe4,Fe5,Fe6,Fe7,Fe8,Fe9,Fe10,Fe11,Fe12,Target
12.415837748661234,-5.999261544832076,-2.797673400365424,-5.514809072476315,-15.810390124078156,-14.559853743111702,-19.882762658737235,-3.637177135538136,-1.3077108612356565,10.41414620553872,-3.787593759065877,-8.394802838445862,0.0
11.640196486033611,-9.006160842929031,-3.858565675848782,-8.12633053380934,-17.62377234826093,-16.155486823440487,-19.092542406784087,1.227400846190192,5.155053388724214,13.675568710300082,-3.387411897186383,-6.6113360662006295,1.0
11.835205180947716,-7.964955745268501,-2.7994965038990616,-6.148031009204352,-13.818408616455288,-11.37907600270263,-17.393981294507576,-1.948124696108008,1.0827477794029718,9.216904265224205,-6.465000362715511,-9.618258297747335,2.0
12.14425313799902,-8.313670353375892,-1.848455777789084,-5.874727717905684,-17.682938668864473,-16.44487675911139,-21.37210994082243,-0.4956787319646013,3.095584653705836,14.33253918920714,-1.3400176815518594,-5.915884741599871,3.0
11.934266686125977,-9.407987435450098,-5.308188312621332,-8.898861727698701,-17.139230573576814,-12.867307512886462,-19.18334518451121,-0.4290494318019808,2.718711214985104,14.358603397030462,-0.7746995096594809,-5.6849406190499625,4.0
13.105612231034891,-9.93489929286724,-4.809155123913436,-6.613706365448983,-18.378058499937016,-12.420572405161504,-18.899336454110795,-2.697687170954947,-0.3630287815263241,13.17636735667379,-1.5645578811601804,-6.585553857626971,5.0
14.572460360722996,-14.521510212177288,-7.15718767816116,0.8371277256031976,-15.657876376917876,-9.423631321137067,-17.53189590340068,-1.654451070353684,-3.2803408318253657,16.665918916616178,-1.9510816355727567,-8.905962011532507,6.0
12.447269277213062,-11.45064946890212,-6.854530933252976,-7.141579093368367,-16.525919272240888,-9.84000728349312,-19.793980555814265,-3.731098154053305,-1.4003621795860135,15.613126265407812,-2.4632525572375297,-6.22099746267482,7.0
13.630867800286062,-9.401668255535272,-3.4232577945584426,-6.025427909773506,-13.787624312257568,-11.027341672919256,-17.461321920580946,-1.3496328148243515,1.391565372189668,11.327696471323543,-5.074824785901537,-9.049908174734746,8.0
12.500244925294076,-11.915236812752804,-3.802640253100541,-7.913670048676757,-15.690495052029164,-9.078668793445688,-19.80711054105352,-3.128505980999065,-0.5850962134807672,13.562936562232052,-3.609299637112727,-6.004364475467316,9.0
12.2423994516197,-13.257175256898575,-5.1873062622396695,-3.4911593389854976,-15.530310421457868,-14.764466122154904,-20.73092216185553,-7.003141780438298,-4.232127866396105,12.54872593570476,1.192127159556713,-5.253653702972414,0.0
11.39735332396952,-15.707740584141174,-5.601969699258116,-5.997938672791981,-17.450434642743595,-17.353775225053678,-21.28420156306498,-2.6366178014399297,2.0896720324855247,13.228534876233056,-0.1517295923968127,-3.877752533670322,1.0
12.42890563826447,-14.244394255935491,-3.556777982649445,-2.8149608140983324,-12.079858293099353,-12.262155511011834,-18.36080952544124,-2.6266280246662164,0.1661823270052233,11.657316509255434,-1.6047211428854025,-4.889046322065304,2.0
12.183438486407368,-14.116993688052606,-3.65045425129605,-4.523779486696946,-16.249581376427212,-17.976174439318264,-24.64278304305397,-3.5920128887816807,0.7693009509851763,15.659621076194092,1.4431680811259064,-0.4979139828023031,3.0
11.84896990638599,-14.864673488105732,-7.962345281847894,-7.167253348369776,-17.053774158126874,-16.018634640318584,-20.614394773063832,-2.179582490354695,-0.8925439960001487,14.419442126211976,1.4381386073267697,-2.214987666522513,4.0
12.285925092281726,-14.478482802695812,-6.193826275598535,-3.5649842050022653,-16.04524975799874,-11.700536933323416,-18.543748359926298,-6.340319151470286,-3.2891932866846734,14.658037353092409,2.655731239432815,-2.317794051411476,5.0
